Nombre,Apellido,Fecha,Celular,ID,Correo,ListaNegra,PrePensionado,InstitucionPublica,NombreInstitucion,ObservacionesDisciplinarias,TieneFamiliaPolicia,TieneHijosInpec,Condecoracion,PaisNacimiento,CiudadNacimiento,CiudadResidencia,Edad,FechaNacimiento,FondoPension,SemanasCotizadas,FondoExtranjero,Caracterizacion
Chelsea,Burgess,2008-01-23,470.305.9625x0970,3572794166,michelledunlap@example.org,2023-04-02,No,No,Mininterior,Sí,Sí,No,No,Colombia,PALMAS DEL SOCORRO,OCAÑA,55,1992-01-25,Colfondos,1025,No,EMBARGADO
Robert,Flores,2007-11-28,001-532-849-8001x53233,4631145015,taylormicheal@example.net,2020-02-09,No,Sí,N/A,Sí,Sí,Sí,No,Bielorrusia,no aplica,no aplica,57,1975-02-25,Colfondos,554,Sí,RECHAZADO
Jennifer,Powers,2001-01-16,347-939-3346x217,9375293887,jillhuff@example.net,NULL,Sí,No,Policía,No,No,Sí,No,Colombia,SANTA ROSA,VENTAQUEMADA,63,1957-08-31,N/A,641,No,RECHAZADO
Alexander,Barrett,2022-03-31,9613837003,677340574,handerson@example.com,2024-11-02,Sí,No,Mininterior,No,Sí,Sí,Sí,Colombia,Arboletes,URIBE,69,1960-04-22,Provenir,98,No,RECHAZADO
Thomas,Evans,2006-05-19,(904)416-7060,1265370192,lynnjohnson@example.org,2022-09-07,No,Sí,Mininterior,Sí,Sí,Sí,Sí,Colombia,TENA,TUTAZA,41,1964-12-02,Protección,1064,Sí,RECHAZADO
Rachel,Yates,2000-09-20,(379)259-1509x296,3251451089,thiggins@example.org,2023-04-05,No,No,Minsalud,Sí,Sí,No,No,Colombia,NEIVA,TOPAGA,43,1978-03-16,Protección,7,No,RECHAZADO
Samuel,White,2000-01-16,711-904-1894,6845196047,emilylopez@example.net,2020-06-26,No,Sí,Policía,Sí,Sí,Sí,Sí,Colombia,Taraz�,ALPUJARRA,26,1990-10-05,Colfondos,1027,Sí,APROBADO
Jeffrey,Brown,2019-05-29,5959724843,9674104951,julie56@example.com,NULL,No,Sí,N/A,No,No,No,No,Colombia,EL PEÑON,FALAN,66,1964-09-10,Colfondos,219,Sí,RECHAZADO
Arthur,Brown,2019-12-30,001-738-783-4204x97323,9835306468,brandon88@example.com,NULL,Sí,Sí,Policía,Sí,Sí,Sí,No,Colombia,VILLAGARZON,SANTA ROSA,53,1965-02-01,Protección,1016,Sí,RECHAZADO
Michelle,Stewart,2019-01-25,292-296-9561x61932,5863121962,tinaharmon@example.com,NULL,No,No,Inpec,Sí,Sí,Sí,Sí,Colombia,FRESNO,ALTO BAUDO,33,1984-01-28,N/A,678,Sí,APROBADO
Maria,Nichols,2024-10-08,921-746-2448,2088554868,leechristopher@example.net,NULL,No,Sí,Armada,Sí,No,No,No,Colombia,VERGARA,Montebello,60,1970-02-21,Provenir,1041,No,APROBADO
Joseph,Glover,2013-10-19,214.280.1199x6222,9215531591,cisneroswalter@example.com,2022-08-22,Sí,Sí,Inpec,No,No,Sí,Sí,Colombia,CACAHUAL,San Carlos,45,1984-04-21,Colfondos,371,No,RECHAZADO
Kari,Cole,2016-07-21,770.651.4441,8677570814,gatesgregory@example.net,NULL,No,No,Inpec,No,No,Sí,Sí,Palestina,no aplica,no aplica,33,2005-01-06,Old Mutual,430,Sí,EMBARGADO
Chloe,Johnson,2002-03-17,001-730-615-8775x5527,9478245011,vmiller@example.org,2022-11-28,Sí,Sí,Armada,Sí,Sí,Sí,No,Colombia,CUCUTA,BUENAVISTA,66,1963-02-06,N/A,726,No,RECHAZADO
Amy,Smith,2009-09-06,(884)992-8002x60366,9529627939,andrea98@example.com,2022-08-02,No,Sí,Policía,No,No,No,No,Colombia,LA UNION,MONGUI,35,1961-04-27,Colfondos,1110,Sí,APROBADO
Jeffrey,Potter,2024-03-11,5398515536,8274748917,ocastillo@example.net,NULL,Sí,No,N/A,No,Sí,Sí,No,Colombia,AQUITANIA,Nari�o,55,1976-06-05,Old Mutual,424,Sí,RECHAZADO
Stephen,Anderson,2002-08-10,723.214.1528,9855002130,crawfordbrian@example.net,NULL,Sí,No,Armada,No,Sí,Sí,Sí,Colombia,CAQUEZA,Fredonia,34,1999-12-16,N/A,449,Sí,RECHAZADO
Jeremiah,Lopez,2007-03-02,902-208-6317x5360,2626568045,wbarker@example.com,2021-10-25,No,No,Armada,No,Sí,No,Sí,Colombia,CASTILLA LA NUEVA,Donmat�as,58,1970-09-20,Protección,126,Sí,RECHAZADO
Catherine,Edwards,2007-09-16,+1-970-235-0982x119,1610752562,brianwilson@example.org,NULL,Sí,Sí,N/A,No,Sí,No,No,Colombia,GUADALUPE,Mutat�,64,1990-07-22,Protección,585,No,RECHAZADO
Edward,Walton,2020-05-22,+1-912-232-1507x15657,7600715280,georgemayo@example.net,2024-04-02,Sí,Sí,Mininterior,Sí,No,No,Sí,Colombia,GUATEQUE,LA VICTORIA,60,1959-01-04,Colfondos,962,Sí,RECHAZADO
Karen,Mccarthy,2022-10-13,747.401.8920,9306637469,nstewart@example.net,NULL,No,No,Minsalud,Sí,No,No,Sí,Colombia,AGUADAS,SIACHOQUE,66,1969-07-05,Colfondos,402,Sí,RECHAZADO
Tracy,Levine,2006-03-25,446.356.4390x7464,1010189285,davisnatasha@example.org,2022-03-24,No,No,N/A,Sí,No,Sí,No,Colombia,OIBA,EL PEÑON,48,1978-02-07,N/A,952,No,RECHAZADO
Nicole,Thompson,2013-08-13,001-628-780-4428x4712,9541638781,raycarl@example.org,2023-09-05,Sí,Sí,Armada,Sí,No,Sí,Sí,Francia,no aplica,no aplica,39,2004-08-05,Protección,598,Sí,RECHAZADO
Dominic,Miller,2003-04-05,(285)368-9489,7088120221,samuelrobinson@example.org,NULL,Sí,Sí,Minsalud,Sí,No,No,No,Colombia,BUENOS AIRES,Abriaqu�,50,2004-08-05,Colfondos,1113,No,RECHAZADO
Kathryn,Underwood,2022-02-13,001-985-319-5397x57232,9158881665,jamesfarmer@example.net,2021-11-01,No,No,Mininterior,No,No,Sí,No,Colombia,SALENTO,AGRADO,63,1964-04-24,Old Mutual,772,No,RECHAZADO
Damon,Alexander,2019-01-26,460-821-5302x16466,7038112275,whernandez@example.net,NULL,No,No,Mininterior,No,No,Sí,Sí,Colombia,SAN CAYETANO,LA CAPILLA,40,1977-01-29,Protección,180,No,RECHAZADO
Darren,Allen,2011-10-09,(955)658-6449x3645,2798624492,kathleen29@example.org,NULL,Sí,No,N/A,No,No,Sí,Sí,Colombia,MALAGA,HONDA,26,2005-02-09,Old Mutual,131,No,RECHAZADO
Lindsey,Green,2022-04-18,523-709-2344x34613,2492639959,santosjennifer@example.net,NULL,No,Sí,Policía,No,Sí,Sí,Sí,Colombia,VILLAPINZON,ARAUQUITA,60,1966-12-08,N/A,878,No,APROBADO
Bryan,Fisher,2020-09-15,+1-634-218-1374x35204,8696849041,samantha10@example.net,2022-07-31,No,No,Inpec,Sí,No,No,Sí,Colombia,CORDOBA,Vig�a del Fuerte,18,1953-12-12,Provenir,663,No,RECHAZADO
Tammy,Espinoza,2022-12-15,+1-838-804-3554x306,6778633494,vberry@example.org,NULL,Sí,No,Inpec,Sí,No,Sí,No,Colombia,Belmira,CUASPUD,48,1983-07-24,Old Mutual,774,Sí,RECHAZADO
Jason,Shaffer,2002-07-10,(561)225-6320,554913458,lorettalove@example.net,2020-10-28,No,Sí,Minsalud,Sí,No,No,No,Colombia,COROMORO,LA JAGUA DEL PILAR,25,1988-08-11,N/A,247,No,RECHAZADO
Robert,Hester,2009-04-01,+1-602-223-9346,9749510329,robertsbrian@example.net,NULL,Sí,No,Minsalud,Sí,No,No,Sí,Colombia,LABRANZAGRANDE,PINCHOTE,32,1992-10-30,Protección,19,Sí,RECHAZADO
Samuel,Schwartz,2012-11-17,(200)397-4784x51338,8479289688,anitanguyen@example.net,2021-09-28,No,Sí,Armada,Sí,Sí,No,No,Colombia,MAHATES,CUITIVA,55,1981-03-19,Protección,30,No,APROBADO
