Nombre,Apellido,Fecha,Celular,ID,Correo,ListaNegra,PrePensionado,InstitucionPublica,NombreInstitucion,ObservacionesDisciplinarias,TieneFamiliaPolicia,TieneHijosInpec,Condecoracion,PaisNacimiento,CiudadNacimiento,CiudadResidencia,Edad,FechaNacimiento,FondoPension,SemanasCotizadas,FondoExtranjero,Caracterizacion
Michelle,Gutierrez,2006-06-12,626.363.5463x40071,2202610352,kgonzalez@example.net,2024-06-20,No,No,Armada,No,No,Sí,No,Colombia,GALAN,GUALMATAN,30,1992-10-24,Provenir,832,Sí,RECHAZADO
Catherine,Welch,2009-02-21,+1-222-392-9975,3279043111,sjohnson@example.net,NULL,No,No,Minsalud,No,Sí,No,Sí,Colombia,Zaragoza,GONZALEZ,37,1975-04-14,Colfondos,39,Sí,APROBADO
Shelly,Rodriguez,2008-01-15,276.478.6277x274,9112682699,jeffreyhunt@example.net,2020-10-19,No,No,N/A,Sí,Sí,No,Sí,Colombia,CAIMITO,PASCA,64,1967-04-27,Old Mutual,94,No,RECHAZADO
Toni,Jimenez,2018-01-10,817-769-0377x876,8196388262,katie71@example.net,2023-02-23,No,No,Policía,Sí,Sí,Sí,Sí,Colombia,SANTO TOMAS,COROMORO,30,1983-08-28,N/A,530,No,RECHAZADO
Sarah,Hardy,2002-11-19,228-641-2203x827,5326567330,lydia90@example.org,NULL,Sí,No,Minsalud,No,Sí,No,Sí,Bosnia y Herzegovina,no aplica,no aplica,68,1990-01-10,Old Mutual,111,No,RECHAZADO
Cody,Powers,2018-01-01,243-235-8623x02476,7732794757,ssoto@example.org,NULL,Sí,Sí,Mininterior,Sí,No,No,No,Colombia,TENZA,NIMAIMA,30,1955-12-18,Colfondos,1066,No,RECHAZADO
Ian,Harris,2002-05-20,746.399.2538x8092,7091805241,jill35@example.net,2021-05-09,Sí,No,N/A,Sí,No,No,No,Colombia,LA JAGUA DEL PILAR,Ituango,48,1984-05-31,Provenir,1021,No,RECHAZADO
Lori,Andrews,2020-06-27,977.900.0224,6733965433,dtorres@example.net,NULL,Sí,Sí,Mininterior,Sí,No,No,Sí,Colombia,EL COPEY,SANTA MARTA,59,1955-10-20,Colfondos,917,Sí,RECHAZADO
Edward,Beck,2019-12-03,671-375-5521x72890,2695478052,angela31@example.com,NULL,No,No,N/A,Sí,No,No,Sí,Colombia,SAN JACINTO DEL CAUCA,FLANDES,67,2002-12-18,N/A,824,No,RECHAZADO
Melanie,Mcdowell,2002-11-14,465-909-7934x45553,1177259010,qmcconnell@example.org,NULL,Sí,Sí,Armada,Sí,No,No,No,Colombia,San Luis,CIMITARRA,23,1963-03-10,Old Mutual,162,No,RECHAZADO
Traci,Hines,2013-07-01,9845292601,2338419442,mfox@example.org,2023-04-27,Sí,No,Minsalud,No,No,Sí,No,Colombia,BELEN,ARMENIA,31,2006-04-21,Protección,1086,Sí,RECHAZADO
Daniel,Smith,2023-05-14,(714)568-0023,3756879112,james22@example.org,NULL,No,No,Armada,Sí,No,Sí,No,Colombia,SANTA ROSA DE VITERBO,SANTA MARIA,25,1976-11-27,N/A,955,Sí,APROBADO
Shannon,Martinez,2008-11-30,458.633.2144x32307,6056177750,lwest@example.com,2022-06-24,Sí,Sí,Inpec,Sí,No,Sí,No,Colombia,GUATAQUI,SAN JUAN DEL CESAR,60,1975-10-02,Old Mutual,572,No,RECHAZADO
Christina,Morris,2010-01-12,6512755392,4991155511,peter93@example.com,NULL,Sí,No,Armada,No,No,No,No,Colombia,PIJAO,ENCISO,63,1987-08-11,Protección,90,No,RECHAZADO
Darrell,Jordan,2010-12-03,366-788-8311,5615704622,marcussimpson@example.org,2021-07-17,No,No,Minsalud,No,Sí,Sí,Sí,Colombia,Belmira,Betania,30,1982-09-17,N/A,29,No,RECHAZADO
Joseph,Robinson,2020-04-29,932.740.2668x2989,2532495273,hernandezcarol@example.net,2021-03-09,Sí,Sí,Armada,No,No,No,No,Colombia,Puerto Triunfo,Giraldo,59,2001-01-09,Provenir,403,No,RECHAZADO
Donna,Johnson,2014-06-04,787.710.4039,2461026054,rebeccanguyen@example.org,NULL,Sí,No,N/A,Sí,No,No,No,Colombia,EL COPEY,FONSECA,29,2004-12-18,N/A,645,Sí,RECHAZADO
Natalie,Myers,2013-08-14,654.889.9704x83349,4792765663,ronald95@example.org,NULL,Sí,Sí,Inpec,No,Sí,No,No,Colombia,Sons�n,PARAMO,63,1995-04-15,Colfondos,399,Sí,RECHAZADO
Kimberly,Small,2019-03-19,+1-488-226-5575x490,916111430,hgalloway@example.net,2022-01-04,Sí,Sí,Policía,Sí,No,No,Sí,Colombia,PUERTO GAITAN,CANDELARIA,56,1998-11-06,Old Mutual,949,No,RECHAZADO
Michael,Glover,2005-07-07,(505)245-1325x325,58654406,obrienphilip@example.net,NULL,Sí,Sí,Inpec,Sí,Sí,No,Sí,Colombia,Concepci�n,PINCHOTE,25,1969-04-21,Colfondos,963,No,RECHAZADO
Kimberly,Cook,2018-06-03,(970)653-2031,9434768495,gsimpson@example.net,2024-01-06,Sí,Sí,Policía,Sí,No,Sí,Sí,Colombia,YAGUARA,LA PAZ,69,1997-04-25,Old Mutual,506,Sí,RECHAZADO
Anna,Smith,2006-09-05,(662)648-0122x510,5639054790,daniel99@example.com,2023-12-09,No,No,Minsalud,Sí,Sí,No,Sí,Colombia,PAEZ,PLANETA RICA,39,1954-02-20,Provenir,301,Sí,APROBADO
Amy,Wilcox,2010-09-17,922-698-8184x06899,7669239519,katherinemorgan@example.net,2024-07-12,Sí,No,Policía,No,Sí,Sí,Sí,Colombia,Titirib�,MOCOA,58,2005-06-10,Colfondos,363,No,RECHAZADO
Michael,Thompson,2020-07-30,(224)884-5521,9638581379,jjohnson@example.com,NULL,No,No,Armada,No,No,No,No,Colombia,COVARACHIA,SOTARA,66,1965-10-14,N/A,164,No,RECHAZADO
Joseph,Jackson,2011-11-29,(500)487-1242x176,7578855295,obradford@example.net,2022-08-13,No,No,Mininterior,Sí,Sí,Sí,No,Colombia,SAN ONOFRE,SAN FERNANDO,65,2001-10-12,N/A,1022,No,RECHAZADO
James,Vincent,2010-04-09,617-732-8166x55171,9978584503,crystaldavis@example.org,NULL,No,No,Policía,Sí,No,No,No,Colombia,SUAN,SANTA MARIA,54,1976-10-19,Provenir,984,No,EMBARGADO
Joseph,Perez,2011-07-10,001-402-716-6888x64692,2411864723,goldenthomas@example.com,NULL,No,No,Mininterior,Sí,Sí,No,No,Timor Oriental,no aplica,no aplica,47,1972-04-01,Protección,1097,No,EMBARGADO
Kristen,Taylor,2010-12-01,(914)714-3000,819958321,nancy69@example.com,NULL,Sí,No,N/A,No,Sí,Sí,No,Colombia,Copacabana,CHOACHI,29,1974-10-04,Provenir,381,Sí,RECHAZADO
Nicholas,Mann,2015-04-25,994-560-2957x2920,199012141,kevin12@example.com,2021-08-19,Sí,No,N/A,Sí,Sí,No,Sí,Islas Pitcairn,no aplica,no aplica,61,1967-11-08,N/A,378,Sí,RECHAZADO
Ryan,Evans,2009-07-03,479-937-4260x72319,4006555798,debrabarr@example.net,NULL,No,Sí,Inpec,No,No,No,Sí,Svalbard y Jan Mayen,no aplica,no aplica,37,1997-07-29,Old Mutual,449,No,APROBADO
Debra,Anderson,2001-02-17,+1-338-962-8219,4623644264,perezpatricia@example.net,NULL,No,Sí,Armada,No,No,Sí,Sí,Colombia,MUZO,MIRAFLORES,50,1989-06-27,Provenir,1010,Sí,APROBADO
Ralph,Taylor,2005-05-25,974.525.7619,3412113090,justin29@example.org,2020-06-27,Sí,Sí,Inpec,Sí,No,No,Sí,Colombia,Apartad�,LA FLORIDA,65,1984-06-08,Colfondos,911,No,RECHAZADO
Caleb,Lee,2005-11-26,(509)426-1268x5134,5896747419,curtisjenny@example.org,2020-03-27,No,Sí,Armada,Sí,No,No,Sí,Colombia,QUIPILE,EL TARRA,36,1957-04-12,Provenir,337,No,APROBADO
Aaron,Welch,2016-08-02,444-982-2857x268,7246361261,vasquezmegan@example.org,NULL,No,No,Minsalud,No,No,Sí,No,Colombia,BETEITIVA,VILLA DE LEYVA,62,1996-02-21,Old Mutual,106,Sí,RECHAZADO
Amanda,Delgado,2009-06-27,+1-763-401-4665x6556,6385941115,mcneilthomas@example.com,2023-08-05,No,No,Armada,Sí,No,No,Sí,Colombia,COROZAL,LA PLAYA,53,1955-05-13,Colfondos,1073,No,EMBARGADO
Elizabeth,Rodriguez,2005-06-14,+1-388-336-8792x9954,4242938203,dyertracy@example.com,NULL,Sí,No,Mininterior,No,No,No,Sí,Arabia Saudita,no aplica,no aplica,50,1956-12-03,Protección,221,Sí,RECHAZADO
John,Stewart,2011-02-16,546.417.0014x20787,3695358860,catherinewilliams@example.org,NULL,No,No,Policía,Sí,Sí,No,Sí,Siria,no aplica,no aplica,41,1996-02-03,N/A,265,Sí,APROBADO
John,Montgomery,2021-03-17,001-600-612-2254x5690,5929763002,asandoval@example.org,2021-12-09,No,Sí,Minsalud,Sí,Sí,Sí,No,Colombia,SILVIA,Angostura,20,1974-02-18,Provenir,388,Sí,RECHAZADO
Nicole,Salazar,2017-02-11,228-763-6656x376,7759422933,ahenry@example.com,NULL,No,No,Inpec,Sí,Sí,Sí,Sí,Colombia,CERINZA,POPAYAN,67,1987-01-14,Colfondos,468,No,RECHAZADO
Phillip,Brown,2015-12-23,(993)664-3668,7674811274,victoria79@example.com,2023-12-21,Sí,No,Minsalud,Sí,Sí,No,Sí,Colombia,Tarso,ESPINAL,64,1987-10-12,N/A,554,Sí,RECHAZADO
Katrina,Matthews,2005-09-05,790-250-7812x6250,1415668844,timothy99@example.net,2022-11-28,No,No,Minsalud,Sí,Sí,Sí,No,Fiyi,no aplica,no aplica,65,1994-09-28,Old Mutual,699,Sí,RECHAZADO
Chad,Noble,2000-07-08,+1-258-310-6223x762,2399404052,osullivan@example.net,2022-03-07,Sí,Sí,N/A,Sí,Sí,No,No,Colombia,RICAURTE,GUAMO,50,1974-11-24,N/A,798,No,RECHAZADO
Jessica,Berry,2014-02-23,(778)723-6978,4408501083,ebaker@example.net,NULL,Sí,No,Policía,Sí,No,Sí,No,Colombia,NARIÑO,VILLA RICA,56,1993-11-23,Colfondos,307,No,RECHAZADO
Lucas,Todd,2007-12-13,(893)410-3566,4960976637,swansontimothy@example.net,2020-10-29,Sí,Sí,Armada,Sí,Sí,No,Sí,Colombia,SANTANA,PAZ DE ARIPORO,60,1967-12-12,N/A,1108,Sí,RECHAZADO
Christopher,Gaines,2016-09-06,001-778-366-5628x5996,8177802608,morenoandrew@example.com,2024-03-06,No,No,Inpec,No,No,No,Sí,Colombia,Abejorral,MISTRATO,26,2000-12-05,Old Mutual,1194,Sí,EMBARGADO
Dustin,Garcia,2023-06-02,(517)706-3616x9327,3651169686,kjenkins@example.org,2023-12-14,No,No,N/A,No,No,Sí,No,Colombia,MALAGA,FILADELFIA,21,1957-01-20,Colfondos,780,No,EMBARGADO
Frank,Holland,2012-05-13,971-373-8590x2275,1028344762,castrorhonda@example.net,2021-08-01,No,No,Minsalud,Sí,No,Sí,Sí,Colombia,CUMBAL,VALLEDUPAR,23,1994-12-24,Protección,507,No,RECHAZADO
Vincent,Martinez,2006-01-01,867-881-7329,8103884537,laurenthomas@example.org,NULL,No,Sí,Minsalud,Sí,Sí,No,Sí,Colombia,CORDOBA,NEMOCON,32,2001-07-31,Old Mutual,633,No,RECHAZADO
James,Massey,2021-05-04,001-691-304-5369,3897471009,heidi58@example.org,NULL,No,Sí,Inpec,No,Sí,Sí,Sí,Colombia,Santo Domingo,LA VEGA,43,1993-08-29,Protección,632,No,APROBADO
Cynthia,Ramirez,2006-09-30,958-379-1185x72716,6208812284,xfuentes@example.com,2021-04-10,Sí,Sí,Mininterior,No,No,Sí,No,Colombia,MEDIO SAN JUAN,YAVARATE,39,1972-08-20,N/A,177,No,RECHAZADO
Jennifer,Simpson,2019-01-03,+1-487-929-1003x79786,3699995917,phyllis01@example.net,NULL,Sí,Sí,Armada,No,Sí,Sí,Sí,Colombia,QUIMBAYA,MARULANDA,28,1967-04-21,Provenir,711,No,RECHAZADO
James,Hale,2012-12-02,6792809271,9102187748,andrea25@example.net,NULL,No,No,Minsalud,No,Sí,Sí,Sí,Colombia,SAN PABLO,QUIBDO,69,1957-12-23,Provenir,858,No,RECHAZADO
Eileen,Greer,2020-08-01,+1-222-607-3892x9469,198424663,henrydaniel@example.net,2023-12-10,No,No,Policía,Sí,No,No,Sí,Colombia,GUACHUCAL,JAMBALO,52,1964-10-28,Provenir,659,Sí,APROBADO
Heather,Peters,2016-01-16,330.687.5654x62914,2244915783,sloanbrian@example.com,2023-03-17,Sí,Sí,N/A,Sí,Sí,Sí,Sí,Colombia,SATIVANORTE,LEBRIJA,52,1985-01-02,Colfondos,438,No,RECHAZADO
Lori,Smith,2008-05-31,974-499-7169,3174904440,umartin@example.net,NULL,Sí,No,Minsalud,Sí,No,Sí,No,Nueva Zelanda,no aplica,no aplica,28,1977-03-19,Old Mutual,84,Sí,RECHAZADO
Kimberly,Flores,2004-10-24,792-495-4912x578,1878217966,michaelperez@example.org,NULL,Sí,No,Inpec,Sí,No,No,No,Colombia,AGUSTIN CODAZZI,Montebello,70,1971-03-19,Colfondos,392,No,RECHAZADO
Melanie,Riley,2000-09-15,001-321-740-6012x87615,4747768441,nicole47@example.com,NULL,No,Sí,Armada,Sí,No,No,No,Colombia,SORACA,RIOBLANCO,40,1967-07-18,Provenir,268,No,APROBADO
