Nombre,Apellido,Fecha,Celular,ID,Correo,ListaNegra,PrePensionado,InstitucionPublica,NombreInstitucion,ObservacionesDisciplinarias,TieneFamiliaPolicia,TieneHijosInpec,Condecoracion,PaisNacimiento,CiudadNacimiento,CiudadResidencia,Edad,FechaNacimiento,FondoPension,SemanasCotizadas,FondoExtranjero,Caracterizacion
Tracy,Perkins,2024-05-08,+1-551-762-0578,1075996891,jessica94@example.net,NULL,No,Sí,Mininterior,Sí,No,Sí,Sí,Colombia,LLORO,PIJAO,24,1986-10-13,Provenir,329,Sí,RECHAZADO
Jason,Flores,2001-03-24,946.251.6742x428,6725681164,brandon62@example.net,NULL,No,No,Minsalud,Sí,Sí,Sí,No,Colombia,RESTREPO,Segovia,63,1954-11-26,N/A,687,No,RECHAZADO
Travis,Holmes,2001-12-25,+1-225-859-8360x30057,5383057388,stephenjackson@example.com,NULL,No,No,N/A,No,Sí,No,Sí,Colombia,BOGOTÁ D.C,Tarso,55,1998-05-25,Old Mutual,746,Sí,EMBARGADO
Jesse,Ellis,2012-12-12,+1-525-426-8620x833,8807994496,oscar57@example.com,2021-12-03,No,Sí,Inpec,No,Sí,No,No,Colombia,LORICA,LA UNION,60,1981-04-12,Protección,404,No,INHABILITADO
Tammy,Herring,2022-09-28,+1-704-922-8321x673,8463581274,anthonygonzales@example.net,2024-09-10,Sí,No,N/A,Sí,Sí,No,Sí,Colombia,CONTRATACION,SAN BENITO,42,1989-11-17,Colfondos,824,No,RECHAZADO
Mark,Larson,2019-09-23,+1-550-904-4743,2447880528,joshua51@example.net,2021-12-06,Sí,Sí,Mininterior,No,Sí,No,No,Nueva Zelanda,no aplica,no aplica,45,1998-07-25,Protección,40,Sí,RECHAZADO
Tamara,Oneal,2012-07-10,337-903-3805x4691,9942043911,pierceryan@example.com,NULL,No,Sí,N/A,Sí,Sí,No,No,Colombia,SOPO,LOPEZ,28,1955-09-01,N/A,394,No,RECHAZADO
Matthew,Walker,2005-08-28,001-905-284-6208x29944,8584019413,lindacampbell@example.org,NULL,No,Sí,Armada,No,No,Sí,Sí,Colombia,CAPITANEJO,BOLIVAR,41,2003-07-22,Provenir,773,No,APROBADO
Amy,Reyes,2021-10-30,779-481-2066x052,7912932776,aknight@example.net,2021-08-20,Sí,No,Minsalud,Sí,No,No,No,Colombia,JESUS MARIA,EL TAMBO,50,1990-11-03,Provenir,286,No,RECHAZADO
Dale,Vaughn,2007-02-05,(987)412-1462x43810,3429193032,uwalker@example.com,2021-03-10,Sí,No,Inpec,Sí,No,Sí,Sí,Colombia,LA PALMA,SAN JOSE DEL FRAGUA,37,1957-08-28,Colfondos,568,No,RECHAZADO
Kelly,Baldwin,2016-05-17,(343)889-2767x063,5804754852,ghatfield@example.net,2019-11-30,Sí,No,Policía,No,No,No,Sí,Marruecos,no aplica,no aplica,37,2001-04-17,Provenir,563,Sí,RECHAZADO
Alan,Blake,2006-11-10,(227)836-0635x9483,4532005689,ballarddeanna@example.com,2023-08-12,No,Sí,N/A,Sí,No,Sí,No,Colombia,Marinilla,MORALES,33,1963-11-13,Protección,664,Sí,EMBARGADO
Natalie,Vargas,2017-06-08,+1-435-520-0548x08611,6530701286,marie25@example.com,NULL,No,Sí,Armada,No,Sí,Sí,Sí,Colombia,FLANDES,AGUSTIN CODAZZI,25,1976-05-12,Protección,995,Sí,APROBADO
Susan,Bender,2020-03-07,(998)842-0764x45198,7146848934,tanyagutierrez@example.net,NULL,No,Sí,Armada,No,No,Sí,Sí,Colombia,SEVILLA,GsEPSA,44,1984-06-18,Colfondos,387,No,APROBADO
Darryl,Osborne,2019-09-03,264-445-6860x482,5266453,jason19@example.net,2020-12-28,Sí,No,Mininterior,Sí,Sí,No,No,Colombia,SAMANA,VALPARAISO,33,1958-01-09,Protección,1157,Sí,RECHAZADO
Robert,Norris,2015-02-25,001-655-698-0477x39530,6834179209,henryali@example.org,2019-12-28,Sí,No,N/A,Sí,No,No,No,Colombia,Santa Rosa de Osos,BALBOA,24,2003-02-16,Old Mutual,728,No,RECHAZADO
