Nombre,Apellido,Fecha,Celular,ID,Correo,ListaNegra,PrePensionado,InstitucionPublica,NombreInstitucion,ObservacionesDisciplinarias,TieneFamiliaPolicia,TieneHijosInpec,Condecoracion,PaisNacimiento,CiudadNacimiento,CiudadResidencia,Edad,FechaNacimiento,FondoPension,SemanasCotizadas,FondoExtranjero,Caracterizacion
Monica,Lawrence,2007-12-09,315.269.9650x478,975861133,pcuevas@example.org,NULL,No,Sí,Armada,No,Sí,No,No,Colombia,SAN VICENTE DEL CAGUAN,BUCARAMANGA,29,1955-10-29,Protección,53,Sí,APROBADO
Brent,Wright,2007-06-12,6978907849,2872160039,michele64@example.net,NULL,Sí,No,Policía,Sí,Sí,No,Sí,Colombia,CHAGUANI,CARCASI,63,1995-03-18,Provenir,63,Sí,RECHAZADO
Steven,Rhodes,2022-08-13,625.266.7794,763402348,lindsayallen@example.org,NULL,No,No,Minsalud,No,No,No,Sí,Colombia,Envigado,PALESTINA,67,1973-02-01,Colfondos,513,Sí,RECHAZADO
Chris,Malone,2004-01-15,001-947-520-1378x8862,5291574996,amiller@example.org,NULL,No,Sí,N/A,Sí,Sí,No,No,Colombia,PAILITAS,Turbo,31,1980-01-03,Old Mutual,564,No,EMBARGADO
Nathaniel,Thompson,2007-10-12,9919353161,8109876633,nicole75@example.org,2023-12-08,No,No,Inpec,Sí,No,No,Sí,Colombia,CORDOBA,LA JAGUA DE IBIRICO,68,1987-06-07,Protección,10,Sí,RECHAZADO
Brittany,Wood,2022-05-02,347-988-7458,9064517781,hornejacob@example.net,2022-09-23,No,No,Mininterior,No,Sí,No,No,Colombia,TORIBIO,BARRANCA DE UPIA,55,1990-10-29,Old Mutual,875,No,EMBARGADO
Christopher,Decker,2011-09-26,(239)351-4848,9559569212,acostabrenda@example.net,NULL,No,Sí,Inpec,Sí,Sí,No,No,Qatar,no aplica,no aplica,47,1986-03-01,Colfondos,1199,No,INHABILITADO
Jenna,Evans,2016-07-22,235-635-6832x32457,6585838618,dfinley@example.com,2021-10-06,Sí,No,Mininterior,Sí,No,No,Sí,Colombia,Valdivia,LA GUADALUPE,66,1963-01-20,Protección,160,No,RECHAZADO
Dana,Robinson,2006-06-26,493-258-4577x24244,889505824,kimfranklin@example.org,NULL,No,No,Inpec,Sí,No,Sí,Sí,Colombia,PAPUNAUA,PINCHOTE,19,1965-06-03,Colfondos,842,No,EMBARGADO
Lindsay,Garrison,2007-04-28,+1-598-391-9855x013,9454226269,vgarcia@example.com,2019-12-14,Sí,No,Minsalud,No,No,No,No,Colombia,SAN CAYETANO,ESPINAL,43,1989-01-24,Provenir,264,Sí,RECHAZADO
