Nombre,Apellido,Fecha,Celular,ID,Correo,ListaNegra,PrePensionado,InstitucionPublica,NombreInstitucion,ObservacionesDisciplinarias,TieneFamiliaPolicia,TieneHijosInpec,Condecoracion,PaisNacimiento,CiudadNacimiento,CiudadResidencia,Edad,FechaNacimiento,FondoPension,SemanasCotizadas,FondoExtranjero,Caracterizacion
Laura,Pierce,2013-07-14,001-250-413-5106x776,7810854964,bjackson@example.org,2023-04-20,No,No,Armada,No,No,Sí,Sí,Palau,no aplica,no aplica,33,1977-04-17,N/A,916,No,RECHAZADO
Morgan,Monroe,2018-05-03,(499)684-0134x938,7918221003,qnavarro@example.org,NULL,No,No,N/A,Sí,No,Sí,Sí,Colombia,LA UNION,ATRATO,69,1977-12-27,Old Mutual,1105,No,RECHAZADO
Anthony,Nash,2003-01-17,+1-408-274-4863,263094654,kimberlysanchez@example.com,2020-10-30,Sí,Sí,Minsalud,No,No,Sí,No,Colombia,LA VEGA,CUITIVA,47,2006-02-27,Colfondos,1056,No,RECHAZADO
Cindy,Kelley,2005-12-24,209-208-2596x58511,1493249443,karen72@example.com,2020-12-19,Sí,Sí,N/A,Sí,Sí,Sí,Sí,Colombia,SAN BENITO,CHIA,30,1964-03-08,Old Mutual,967,No,RECHAZADO
Lauren,Miller,2013-06-25,+1-876-937-2472x77918,711469038,luis40@example.com,2024-04-18,No,Sí,Armada,No,Sí,Sí,No,Colombia,LINARES,CIENEGA,28,1971-09-05,Old Mutual,1165,Sí,APROBADO
Lawrence,Bird,2004-04-20,785.677.1922x15547,7573963144,stephenschultz@example.com,NULL,No,No,Inpec,No,Sí,No,No,Colombia,CHINU,DAGUA,60,1990-05-09,Provenir,1050,No,RECHAZADO
Derrick,Reed,2003-02-09,905-848-5841,9864845763,yhoward@example.net,NULL,Sí,Sí,Mininterior,No,No,Sí,Sí,Emiratos Árabes Unidos,no aplica,no aplica,65,1975-02-16,Colfondos,977,Sí,RECHAZADO
Ruben,Jarvis,2008-01-04,(709)244-7341x460,6054146654,troybaker@example.org,NULL,No,No,Policía,No,No,No,No,Colombia,CIENAGA DE ORO,CUCUTILLA,53,1953-12-19,Provenir,852,No,EMBARGADO
Megan,Aguilar,2013-02-06,(513)277-9744x19007,258652051,fitzpatrickchristopher@example.net,2021-12-24,No,Sí,Mininterior,Sí,No,No,No,Italia,no aplica,no aplica,29,1980-09-11,N/A,455,Sí,RECHAZADO
Christina,Lee,2009-09-05,001-571-637-6249x92066,6147711999,sharonsmall@example.com,NULL,Sí,No,Mininterior,No,Sí,Sí,Sí,Colombia,LABATECA,DISTRACCION,28,1990-03-12,N/A,733,Sí,RECHAZADO
