Nombre,Apellido,Fecha,Celular,ID,Correo,ListaNegra,PrePensionado,InstitucionPublica,NombreInstitucion,ObservacionesDisciplinarias,TieneFamiliaPolicia,TieneHijosInpec,Condecoracion,PaisNacimiento,CiudadNacimiento,CiudadResidencia,Edad,FechaNacimiento,FondoPension,SemanasCotizadas,FondoExtranjero,Caracterizacion
Nicole,Richmond,2024-07-31,8625876816,9943549636,jimenezdustin@example.org,NULL,Sí,No,Inpec,No,Sí,No,No,Colombia,FLORENCIA,FLORESTA,43,1969-08-23,Protección,527,No,RECHAZADO
Tanya,Mccarthy,2011-01-23,001-215-244-9914x0047,8481995414,stephanie90@example.com,NULL,Sí,No,Mininterior,No,No,Sí,No,Colombia,TUNJA,CHINCHINA,56,1957-11-22,Old Mutual,193,Sí,RECHAZADO
Robin,Brooks,2005-10-25,992.548.6770x8343,5691654178,carrie16@example.com,NULL,No,No,Armada,No,No,No,No,Colombia,SAN PEDRO,FLORIDA,45,2000-04-24,Colfondos,823,Sí,EMBARGADO
Tasha,Peterson,2008-08-18,823-801-8689x8832,960162498,curtis95@example.com,2022-04-26,No,Sí,Inpec,Sí,Sí,No,No,Colombia,JORDAN,MONTELIBANO,64,1977-09-02,Protección,335,Sí,INHABILITADO
Brianna,Green,2015-10-04,251.351.6695,5205791779,billythornton@example.net,NULL,No,Sí,Mininterior,Sí,No,Sí,Sí,Colombia,Maceo,FUENTE DE ORO,61,1989-06-01,Protección,647,Sí,RECHAZADO
James,Floyd,2002-12-29,9547476224,961665251,christopher40@example.net,NULL,Sí,Sí,Inpec,Sí,Sí,No,No,Colombia,SALDAÑA,PAJARITO,60,1998-03-16,Provenir,1102,Sí,RECHAZADO
Dominic,Williams,2020-01-14,637-727-5657x25871,2417875877,angela30@example.com,2024-11-12,Sí,No,Armada,No,No,No,No,Colombia,Arboletes,EL CHARCO,49,1965-11-28,Protección,471,No,RECHAZADO
Edward,Ramsey,2024-06-20,2155962411,2983963560,chase29@example.com,NULL,Sí,Sí,Inpec,No,Sí,No,No,Colombia,Titirib�,Guatap�,51,2003-08-06,Colfondos,987,Sí,RECHAZADO
Justin,Perez,2010-04-08,001-745-946-7331,821533492,pferrell@example.net,NULL,No,Sí,N/A,No,No,Sí,Sí,Colombia,ALBANIA,MONTELIBANO,50,1973-10-24,Provenir,1180,Sí,EMBARGADO
Jacqueline,Smith,2023-03-01,(265)618-6072x19732,2115764360,uwilkerson@example.org,NULL,No,No,Armada,No,Sí,Sí,No,Colombia,CHIMICHAGUA,GUACAMAYAS,47,1988-11-06,Provenir,823,No,EMBARGADO
Sylvia,Martin,2019-10-18,480-412-6981,2396143577,anita33@example.com,NULL,Sí,No,Minsalud,Sí,Sí,No,No,Colombia,TUBARA,PIEDECUESTA,39,1988-11-03,N/A,837,No,RECHAZADO
Joseph,Rodriguez,2017-04-05,001-332-807-8143x0083,4748982403,matthew95@example.com,2023-12-04,No,Sí,Policía,Sí,No,Sí,Sí,Colombia,TIERRALTA,SOLANO,29,1974-08-13,Old Mutual,761,No,APROBADO
Eric,Greene,2011-07-14,001-636-418-6443x584,9240115698,wnelson@example.org,NULL,No,Sí,N/A,Sí,Sí,No,No,Colombia,ZETAQUIRA,GONZALEZ,60,2000-05-29,Provenir,676,Sí,RECHAZADO
Joshua,Smith,2009-06-04,(305)249-8711x25387,7595737410,ginajohnson@example.com,NULL,Sí,No,Policía,No,Sí,No,Sí,Colombia,NATAGA,LA APARTADA,50,2005-10-06,Provenir,43,No,RECHAZADO
Thomas,Rush,2012-10-30,774-491-5792x17397,6976861653,lauren12@example.org,2023-12-31,No,No,N/A,Sí,No,No,Sí,Colombia,Girardota,VILLA DE SAN DIEGO DE UBATE,46,1970-06-15,Protección,390,Sí,APROBADO
Christopher,Coffey,2009-09-28,3848961848,2956354651,cynthiayates@example.org,2019-12-12,No,Sí,Minsalud,Sí,No,No,No,Colombia,CANDELARIA,NARIÑO,40,2002-02-12,Provenir,830,Sí,RECHAZADO
Vanessa,Reyes,2023-08-05,+1-795-295-5121x026,254469490,tuckerronald@example.net,2021-02-03,No,Sí,N/A,No,Sí,No,No,Montserrat,no aplica,no aplica,58,1974-05-14,Colfondos,115,No,RECHAZADO
John,Smith,2006-11-15,001-922-202-0882,9803829113,johnsonstephanie@example.net,NULL,Sí,Sí,Inpec,Sí,No,No,Sí,Colombia,RIO DE ORO,GAMEZA,65,2003-09-15,N/A,1070,Sí,RECHAZADO
Destiny,Russo,2015-03-28,219.611.8014x66343,1231922527,vancejacqueline@example.net,NULL,No,Sí,Inpec,Sí,Sí,Sí,Sí,Colombia,POTOSI,EL RETEN,28,2005-09-10,Old Mutual,15,No,APROBADO
James,Cole,2007-12-14,810.323.7088,6827240533,davidlambert@example.com,NULL,No,No,Inpec,Sí,Sí,Sí,No,Colombia,LA TOLA,SAN FELIPE,44,1988-02-08,Protección,1012,No,EMBARGADO
Breanna,Daniels,2003-08-13,001-478-380-8504x32216,9185090863,nwolf@example.org,NULL,Sí,Sí,N/A,Sí,No,No,Sí,Colombia,LA SALINA,SAN JUAN DE BETULIA,50,1999-01-14,N/A,956,Sí,RECHAZADO
Stephen,Williams,2006-07-19,+1-938-765-8950x4339,791094277,pkim@example.com,NULL,Sí,Sí,Inpec,No,Sí,Sí,Sí,Colombia,LA TEBAIDA,MEDINA,59,1997-05-16,Protección,385,No,RECHAZADO
Tracy,Stephens,2016-12-14,(329)980-0943x5872,1391772008,grant23@example.com,2022-05-10,No,Sí,Inpec,Sí,No,No,Sí,Colombia,NUQUI,Ciudad Bol�var,65,1990-10-24,Protección,142,No,APROBADO
Annette,Thomas,2001-07-17,+1-561-988-9310x86975,3054239485,courtneyjones@example.com,NULL,Sí,Sí,Inpec,Sí,Sí,No,Sí,Noruega,no aplica,no aplica,60,1984-02-15,Provenir,799,No,RECHAZADO
Kelsey,Diaz,2001-09-12,+1-756-514-5118,1822351371,melissaduarte@example.com,2020-09-28,No,No,Mininterior,Sí,No,Sí,No,Colombia,Donmat�as,Yolomb�,19,2006-05-11,Old Mutual,512,No,EMBARGADO
Cindy,Crawford,2022-10-15,(665)322-1365x663,8792205000,mario48@example.com,NULL,Sí,No,Armada,Sí,Sí,Sí,No,Kirguistán,no aplica,no aplica,53,1971-12-15,Old Mutual,1071,No,RECHAZADO
