1097349102,Bradley,Wright,20,APROBADO
3282476825,Patricia,Nguyen,27,APROBADO
5396097255,Lauren,Curtis,29,APROBADO
1153319713,Andrew,Gray,31,APROBADO
1748726499,Lisa,Price,31,APROBADO
3537574869,Matthew,Cooper,34,APROBADO
4415111076,Aaron,Sheppard,37,APROBADO
2254252084,Brandi,Curtis,38,APROBADO
614258132,Jean,Kerr,38,APROBADO
5526402752,John,Wilson,38,APROBADO
3888926830,Lori,Mitchell,40,APROBADO
2483334438,Richard,Williams,41,APROBADO
2892015466,Beth,Li,42,APROBADO
4753565594,Brian,Hill,45,APROBADO
5542009066,Bianca,Black,46,APROBADO
1058024973,Francisco,Johnson,50,APROBADO
5900499836,Luis,Gibson,50,APROBADO
6126543901,Lisa,Page,57,APROBADO
5124992527,Samantha,Knight,59,APROBADO
6688259621,Eric,Garcia,60,APROBADO
7743153000,Keith,Lynch,63,APROBADO
